dimension,group,count,health_mae,mean_score_mae,eligibility_macro_f1,risk_macro_f1,limit_mae_inr,anomaly_rate,Business_Stability_Score_MAE,Cashflow_Score_MAE,Revenue_Consistency_Score_MAE,Payment_Behaviour_Score_MAE,Business_Growth_Score_MAE,Compliance_Score_MAE,Financial_Health_Score_MAE
Customer_Segment,Existing-to-Credit,2094,1.7552913316256893,0.4785518769710785,0.9006337590028577,0.8398943565189408,147554.21768826855,0.039637058261700095,0.24923053360227712,0.26878969102622174,0.2581112433373512,0.2552600526433855,0.3301561702693656,0.23302411629326086,1.7552913316256893
Customer_Segment,NTB,2246,1.735841752576485,0.47213980301175223,0.8988826376557901,0.8394389981538842,148665.4891820651,0.018699910952804988,0.24981955439681142,0.2803340297823406,0.2531307914847231,0.2277940828577952,0.3209504436950077,0.23710796628910216,1.735841752576485
Customer_Segment,NTC,3160,1.7740562832895723,0.47699640357658846,0.904847511143761,0.8338827450706444,152435.42845911477,0.010759493670886076,0.25455046762336453,0.27265956337731606,0.2576470231394296,0.22198402972524492,0.32668359348791415,0.23139386439327753,1.7740562832895723
Industry,Construction,472,1.7219682978829836,0.4681832840687609,0.9168928313388341,0.8477191365084242,190774.20327788868,0.01694915254237288,0.25097203197399937,0.26617138926377465,0.23968995211198774,0.23438656544520972,0.331444600636016,0.2326501511673562,1.7219682978829836
Industry,Food & Beverage,787,1.7681601487969523,0.4738609915402356,0.8924364739543773,0.8446519619243501,95619.41509333317,0.01905972045743329,0.23988097142457257,0.28179332874972207,0.2548765284666265,0.22980602517840787,0.30766667445791185,0.23484326370745431,1.7681601487969523
Industry,Healthcare,379,1.8075066533700437,0.47840501628412946,0.8636385736651205,0.8001067344625028,161477.3501600356,0.023746701846965697,0.2497272794367931,0.2825463412323956,0.24772501079654802,0.21941701717189416,0.3028102005248877,0.23910261145634543,1.8075066533700437
Industry,IT & Digital,352,1.792752712419153,0.47989896266704435,0.9022514632374931,0.8464812901618565,84488.68132039644,0.028409090909090908,0.23945453410706197,0.28181409603289764,0.2563726467702465,0.24457052856169195,0.30295166537118745,0.24137655540707142,1.792752712419153
Industry,Logistics,502,1.6884058089170342,0.46582612743047064,0.9028261711188541,0.837845786232883,141407.65912689338,0.017928286852589643,0.25309710220961396,0.27234710583334665,0.27012898768637184,0.21756247334761775,0.325333698183607,0.23390771583570402,1.6884058089170342
Industry,Manufacturing,948,1.737346098042942,0.47637263682567166,0.9094708459723626,0.8410422403577105,212140.53806326582,0.023206751054852322,0.2517831390629872,0.2821800932984167,0.25098760745785453,0.24595012657430929,0.33395379469098607,0.23240759865220414,1.737346098042942
Industry,Retail,1317,1.756178743053302,0.4800651362112386,0.9141352591589558,0.8509018111739404,133678.1699518051,0.02201974183750949,0.2516483147079303,0.2780383551300859,0.2649435491872756,0.2285124836509352,0.34218949782108027,0.23894500992806406,1.756178743053302
Industry,Services,1350,1.7657810508395366,0.47538275658307044,0.9044251930278793,0.8429405154871931,126075.73065858435,0.02148148148148148,0.25459207893260405,0.2639161748457944,0.2551637229020982,0.22981289121299817,0.3272893218230353,0.23112405552542642,1.7657810508395366
Industry,Textiles,451,1.8098326023288611,0.49405578061454775,0.8893251533742331,0.7929701064739234,164569.03256405576,0.017738359201773836,0.27277362716218484,0.28763787342326325,0.2669910870287573,0.26152838647403587,0.3192633314773094,0.2403635564074237,1.8098326023288611
Industry,Trading,942,1.7541223841797449,0.47069381982527386,0.8944380112808636,0.8286178978621948,186588.5822125517,0.021231422505307854,0.25190761326188843,0.2590012604521198,0.25262547149951026,0.22860848193169134,0.3271174804179709,0.22147404703399026,1.7541223841797449
Has_Existing_Loan,No,4880,1.7557625438723365,0.4745194368468784,0.9039169671006937,0.8355787472658726,151724.7111446734,0.01209016393442623,0.2517152633694394,0.27677290166647267,0.25672242981608456,0.221225225236937,0.3257670259879083,0.23367066797897365,1.7557625438723365
Has_Existing_Loan,Yes,2620,1.760373002217185,0.4786898516912528,0.8976716189225423,0.840052735041958,146626.1771324233,0.03816793893129771,0.25152383549060087,0.26848408551144165,0.2558686400157277,0.2549734714157933,0.3262514449175019,0.23335448227052566,1.760373002217185
Turnover_Band,Above training P99,75,1.72915733630334,0.5057567950411939,0.9560889929742389,0.8669186534858175,1900524.7785438807,0.0,0.2695304492377294,0.32861111308104285,0.2364502379298446,0.24853462914697333,0.4616351715570306,0.2663786280323956,1.72915733630334
Turnover_Band,P75-P99,1779,1.7390833376988342,0.47027921724616933,0.8899905182009317,0.8375369247982881,332907.92941271164,0.016301292861157952,0.2544556009196997,0.2665216791046392,0.25366915910579946,0.22380434628251794,0.3267857608127015,0.22763463679899545,1.7390833376988342
Turnover_Band,Q1,1925,1.7491277536684073,0.47603911051857467,0.9073728337272594,0.83954421426024,24665.727570862862,0.03168831168831169,0.24878047128033307,0.2815482823870159,0.2573137931299514,0.2318493793596921,0.31712546186857976,0.24652863193604224,1.7491277536684073
Turnover_Band,Q2,1830,1.774924858782397,0.47719035812228683,0.907412092081963,0.8385223640575324,60347.48616991098,0.01912568306010929,0.2501498718630055,0.2752318912729981,0.2564723163853352,0.2288944096383129,0.326096347138603,0.22856281177535756,1.774924858782397
Turnover_Band,Q3,1891,1.7671068241848655,0.4789159878491735,0.897483623221143,0.8295005135320707,122621.4618678488,0.017979904812268643,0.2526678814253421,0.2695068000737919,0.2588560030086853,0.24623730308698524,0.32856929497176873,0.22946780819277657,1.7671068241848655
